serial;name;height;width;depth;weight;shortDescription;longDescription
P12345;Elegantes Luxus-Armband;20;2;0.5;30;Ein zeitloses Meisterwerk der Eleganz - unser luxuriöses Armband verleiht Ihrem Look den Hauch von Glamour, den Sie verdienen.;Tauchen Sie ein in die Welt des Luxus mit unserem eleganten Luxus-Armband. Dieses exklusive Schmuckstück wurde mit Liebe zum Detail gefertigt und strahlt zeitlose Eleganz aus. Die funkelnden Diamanten in Kombination mit hochwertigen Materialien machen dieses Armband zu einem Blickfang bei jedem Event. Tragen Sie es stolz und erleben Sie den Glanz und die Bewunderung, die es mit sich bringt.
P67890;Elegante Damenuhr;10;4;1;50;Unsere elegante Damenuhr ist mehr als nur eine Uhr - sie ist ein zeitloses Accessoire, das Ihren Stil perfekt ergänzt.;Diese wunderschöne Damenuhr wurde sorgfältig entworfen und gefertigt, um Eleganz und Funktionalität zu vereinen. Mit ihrem schlanken Design und den hochwertigen Materialien ist sie ein absolutes Must-have für anspruchsvolle Frauen. Tragen Sie sie zu jedem Anlass und seien Sie immer pünktlich und stilvoll.
P24680;Eleganter Herrenring;5;5;2;100;Unser eleganter Herrenring ist ein zeitloses Accessoire, das Ihren Stil perfekt ergänzt.;Dieser elegante Herrenring ist ein zeitloses Accessoire, das Ihren Stil perfekt ergänzt. Er wurde sorgfältig entworfen und gefertigt, um Eleganz und Funktionalität zu vereinen. Mit seinem schlanken Design und den hochwertigen Materialien ist er ein absolutes Must-have für anspruchsvolle Männer. Tragen Sie ihn zu jedem Anlass und seien Sie immer pünktlich und stilvoll.
P12346;Eleganter Abendkleid;150;40;25;350;Ein atemberaubendes Abendkleid, das alle Blicke auf sich zieht.;Unser elegantes Abendkleid wurde sorgfältig entworfen, um Ihnen einen glamourösen Auftritt zu garantieren. Perfekt für besondere Anlässe und Veranstaltungen.
P23457;High-End-Laptop;1.8;12;8;1500;Die ultimative Leistung für professionelle Anwender.;Unser High-End-Laptop bietet die neueste Technologie und Leistung für anspruchsvolle Aufgaben. Ideal für Berufstätige und Kreative.
P34568;Bio-Gemüsekorb;25;15;10;500;Frisches, gesundes Gemüse direkt vom Bauernhof.;Unser Bio-Gemüsekorb enthält eine Auswahl an frischem Gemüse aus nachhaltigem Anbau. Perfekt für gesunde Mahlzeiten.
P45679;Bluetooth-Lautsprecher;10;5;5;300;Kraftvoller Sound in kompaktem Design.;Unser Bluetooth-Lautsprecher liefert beeindruckenden Klang, wo immer Sie ihn benötigen. Tragbar und vielseitig.
P56780;Moderne Wohnzimmercouch;90;210;100;800;Das Zentrum Ihres Wohnzimmers in stilvollem Design.;Unsere moderne Wohnzimmercouch bietet Komfort und Stil für Ihr Zuhause. Mit hochwertigen Materialien und zeitlosem Design.
P67891;Digitalkamera mit Wechselobjektiven;12;16;10;700;Die Kamera für Fotografen auf höchstem Niveau.;Unsere Digitalkamera mit Wechselobjektiven ermöglicht professionelle Fotografie mit erstklassiger Bildqualität und Flexibilität.
P78902;Designer-Parfum für Damen;10;5;3;50;Der Duft der Eleganz und Raffinesse.;Unser Designer-Parfum für Damen ist eine Hommage an die Schönheit und Anmut. Ein unverwechselbarer Duft, der Sie den ganzen Tag begleitet.
P89013;Outdoor-Wanderrucksack;60;35;25;1200;Der perfekte Begleiter für Abenteuer in der Natur.;Unser Outdoor-Wanderrucksack bietet ausreichend Stauraum und Komfort für lange Wanderungen und Abenteuer im Freien.
P90124;Luxus-Sportwagen;120;200;50;1800;Die ultimative Kombination aus Geschwindigkeit und Stil.;Unser Luxus-Sportwagen bietet eine unvergleichliche Fahrerfahrung und zieht die Blicke auf sich. Ein Traumauto für Automobil-Enthusiasten.
P01235;Elegantes Schmuckset;5;5;2;80;Das perfekte Schmuckset für besondere Anlässe.;Unser elegantes Schmuckset umfasst Ohrringe, eine Halskette und ein Armband, die Ihre Eleganz unterstreichen. Perfekt für Hochzeiten und festliche Anlässe.
P12347;Smart-Home-Überwachungssystem;8;8;8;500;Sicherheit und Kontrolle für Ihr Zuhause.;Unser Smart-Home-Überwachungssystem bietet Ihnen die Möglichkeit, Ihr Zuhause von überall aus zu überwachen und zu schützen.
P23458;Bio-Honig aus regionaler Imkerei;10;5;5;250;Reiner, natürlicher Honig aus lokalen Bienenstöcken.;Unser Bio-Honig wird von regionalen Imkern mit Liebe und Sorgfalt hergestellt. Ein gesundes und köstliches Naturprodukt.
P34569;Faltbare Fahrrad für Pendler;70;25;40;1200;Die clevere Lösung für den Stadtverkehr.;Unser faltbares Fahrrad ist ideal für Pendler und Stadtbewohner. Kompakt und leicht zu transportieren, ohne Kompromisse bei der Leistung.
P45681;Barbecue-Grill für das ultimative Grillvergnügen;80;50;35;1500;Perfekte Grillergebnisse bei jeder Mahlzeit.;Unser Barbecue-Grill bietet eine große Grillfläche und präzise Temperaturkontrolle für erstklassige Grillergebnisse.
P56782;Luxuriöser Kaschmirschal;180;30;0.5;150;Der Schal, der Wärme und Eleganz vereint.;Unser luxuriöser Kaschmirschal hält Sie warm und verleiht Ihrem Outfit eine luxuriöse Note. Perfekt für kalte Tage.
P67893;Hochwertiger Wandfernseher;60;100;5;1800;Ein atemberaubendes Seherlebnis in Ihrem Wohnzimmer.;Unser hochwertiger Wandfernseher bietet gestochen scharfe Bilder und ein beeindruckendes Klangerlebnis für Heimkino-Enthusiasten.
P78904;Damen-Sportbekleidung-Set;5;5;2;200;Leistungsstarke Sportbekleidung mit Stil.;Unser Damen-Sportbekleidung-Set bietet Komfort und Funktionalität für Ihre aktive Lebensweise. Inklusive Leggings, Sport-BH und Top.
P89015;Exklusive Whisky-Sammlung;20;20;15;800;Eine Sammlung seltener Whiskys für Kenner.;Unsere exklusive Whisky-Sammlung enthält seltene und hochwertige Whiskys aus aller Welt. Perfekt für Liebhaber des goldenen Elixiers.
P90126;Kunstdruck auf Leinwand;80;60;2;300;Kunstwerke, die Ihre Wände zum Leben erwecken.;Unsere Kunstdrucke auf Leinwand sind handgefertigte Meisterwerke, die Ihr Zuhause verschönern und inspirieren.
P01236;Designer-Handtasche;30;40;15;500;Die ultimative Handtasche für Fashionistas.;Unsere Designer-Handtasche ist ein Statement-Accessoire, das Ihren Stil perfekt ergänzt. Das luxuriöse Leder und das moderne Design machen diese Tasche zu einem Must-have für jede Frau.
P12348;Premium-Smartphone;15;7;0.7;170;Die neueste Generation von High-End-Smartphones.;Unser Premium-Smartphone bietet beeindruckende Leistung und innovative Funktionen. Entdecken Sie die Zukunft der mobilen Technologie.
P23459;Bio-Gourmet-Kaffee;10;5;5;250;Der Kaffee, der die Sinne verzaubert.;Unser Bio-Gourmet-Kaffee wird aus den besten Kaffeebohnen hergestellt und bietet ein reiches Aroma, das Kaffeeliebhaber schätzen werden.
P34570;Drahtlose Bluetooth-Ohrhörer;3;2;2;30;Kabellose Freiheit für Ihre Musik.;Unsere drahtlosen Bluetooth-Ohrhörer bieten hervorragenden Klang und bequeme Passform für unterwegs.
P45682;Eleganter Abendanzug für Herren;190;55;30;1000;Der Anzug, der Ihre Eleganz unterstreicht.;Unser eleganter Abendanzug für Herren ist perfekt für formelle Anlässe. Mit hochwertigen Materialien und zeitlosem Design sind Sie immer stilvoll gekleidet.
P56783;Spiegellose Systemkamera;10;15;5;600;Die Kamera, die Ihre kreativen Möglichkeiten erweitert.;Unsere spiegellose Systemkamera bietet erstklassige Bildqualität und Flexibilität für Fotografen. Perfekt für Profis und Enthusiasten.
P67894;Luxus-Damenarmbanduhr;8;8;2;90;Die Uhr, die Ihren Stil betont.;Unsere Luxus-Damenarmbanduhr ist ein exquisites Schmuckstück, das Eleganz und Präzision vereint. Ein zeitloses Accessoire für anspruchsvolle Frauen.
P78905;Outdoor-Campingausrüstung;60;30;20;800;Die Ausrüstung, die Abenteuer unvergesslich macht.;Unsere Outdoor-Campingausrüstung bietet alles, was Sie für ein aufregendes Abenteuer in der Natur benötigen. Robust, zuverlässig und komfortabel.
P89016;Sportwagen für Geschwindigkeitsfans;130;220;45;2000;Die Rennmaschine, die Adrenalin pur liefert.;Unser Sportwagen für Geschwindigkeitsfans bietet extreme Leistung und ein atemberaubendes Design. Ein Traumauto für Autoliebhaber.
P90127;Elegantes Perlen-Collier;6;6;0.5;60;Das Collier, das Ihre Eleganz unterstreicht.;Unser elegantes Perlen-Collier ist ein zeitloses Schmuckstück, das Ihre Eleganz unterstreicht. Perfekt für besondere Anlässe und Feierlichkeiten.
P01237;Smart-Home-Beleuchtungssystem;5;5;5;80;Intelligente Beleuchtung für Ihr Zuhause.;Unser Smart-Home-Beleuchtungssystem ermöglicht es Ihnen, die Beleuchtung in Ihrem Zuhause nach Ihren Wünschen anzupassen und zu steuern.
P12349;Gourmet-Schokoladenkollektion;20;20;5;400;Die Schokolade, die Ihre Sinne verführt.;Unsere Gourmet-Schokoladenkollektion umfasst eine Vielzahl von köstlichen Schokoladen, die von Hand gefertigt wurden. Ein Genuss für Schokoladenliebhaber.
P23460;Faltbares E-Bike für Pendler;70;30;40;1500;Die umweltfreundliche Lösung für den Stadtverkehr.;Unser faltbares E-Bike ist perfekt für Pendler und Stadtbewohner. Kompakt, elektrisch und praktisch.
P34571;Grillzubehör-Set für Grillmeister;15;10;5;150;Das Set, das Grillen zum Vergnügen macht.;Unser Grillzubehör-Set enthält alle notwendigen Werkzeuge und Utensilien für ein perfektes Grillvergnügen im Freien.
P45683;Kaschmirschal und Mützen-Set;180;30;0.5;200;Das Set, das Wärme und Eleganz vereint.;Unser Kaschmirschal und Mützen-Set hält Sie warm und verleiht Ihrem Outfit eine luxuriöse Note. Perfekt für die kalte Jahreszeit.
P56784;4K-Ultra-HD-Fernseher;70;120;5;2000;Das ultimative Seherlebnis in atemberaubender 4K-Auflösung.;Unser 4K-Ultra-HD-Fernseher bietet gestochen scharfe Bilder und lebendige Farben für ein Heimkinoerlebnis der Extraklasse.
P67895;Herren-Sportbekleidung-Set;5;5;2;220;Leistungsstarke Sportbekleidung mit Stil.;Unser Herren-Sportbekleidung-Set bietet Komfort und Funktionalität für aktive Männer. Inklusive Sportshirt, Shorts und Sportsocken.
P78906;Whisky-Tasting-Erlebnis;1;1;1;100;Ein exklusives Erlebnis für Whisky-Kenner.;Unser Whisky-Tasting-Erlebnis bietet Ihnen die Möglichkeit, seltene und hochwertige Whiskys zu probieren und Ihr Wissen zu vertiefen.
P89017;Abstrakte Kunst auf Leinwand;60;80;2;350;Moderne Kunst, die Ihre Sinne anspricht.;Unsere abstrakten Kunstwerke auf Leinwand sind ein Blickfang in jedem Raum und inspirieren die Vorstellungskraft.
P01238;Luxus-Herrenuhr;10;5;1.5;90;Die Uhr, die Ihren Stil definiert.;Unsere Luxus-Herrenuhr ist ein Meisterwerk der Uhrmacherkunst, das Eleganz und Präzision vereint. Ein zeitloses Accessoire für anspruchsvolle Männer.
P12350;Premium-Tablet-Computer;9;6;0.5;350;Die nächste Stufe der mobilen Produktivität.;Unser Premium-Tablet-Computer bietet leistungsstarke Funktionen und ein beeindruckendes Display für unterwegs.
P23461;Bio-Kokosnussöl;10;5;5;200;Das natürliche Wundermittel für Schönheit und Gesundheit.;Unser Bio-Kokosnussöl ist von höchster Qualität und vielseitig einsetzbar für Hautpflege, Kochen und vieles mehr.
P34572;Drahtlose Gaming-Maus;6;4;2;80;Die perfekte Maus für Gamer.;Unsere drahtlose Gaming-Maus bietet Präzision und schnelle Reaktionen für ein ultimatives Gaming-Erlebnis.
P45684;Elegante Damenabendtasche;15;25;5;300;Die Tasche, die Ihre Eleganz unterstreicht.;Unsere elegante Damenabendtasche ist das perfekte Accessoire für besondere Anlässe. Ein stilvolles Highlight für jede Frau.
P56785;Digitale Spiegelreflexkamera;12;16;8;700;Die Kamera, die Ihre kreativen Grenzen erweitert.;Unsere digitale Spiegelreflexkamera bietet professionelle Bildqualität und volle kreative Kontrolle für Fotografen.
P67896;Luxus-Halskette mit Diamanten;8;8;1;120;Die Halskette, die Ihren Hals schmückt.;Unsere Luxus-Halskette mit Diamanten ist ein atemberaubendes Schmuckstück, das Luxus und Eleganz verkörpert. Ein zeitloses Accessoire für besondere Anlässe.
P78907;Camping-Zelt für Familien;100;120;80;3000;Das Zelt, das Platz für die ganze Familie bietet.;Unser Camping-Zelt für Familien bietet geräumigen Komfort und Schutz in der Natur. Perfekt für Outdoor-Abenteuer.
P89018;Supersportwagen für Rennstrecken;120;220;50;2500;Der Supersportwagen, der Geschwindigkeitsrekorde bricht.;Unser Supersportwagen für Rennstrecken bietet atemberaubende Leistung und Aerodynamik. Ein Traumauto für Motorsport-Enthusiasten.
P90128;Eleganter Perlenschmuck;6;6;0.5;70;Der Schmuck, der Ihre Eleganz unterstreicht.;Unser eleganter Perlenschmuck verleiht Ihrem Outfit eine klassische Note. Perfekt für Hochzeiten und festliche Anlässe.
P01239;Smart-Home-Sicherheitssystem;5;5;5;100;Sicherheit und Überwachung für Ihr Zuhause.;Unser Smart-Home-Sicherheitssystem schützt Ihr Zuhause mit modernster Technologie und Überwachungsfunktionen.
P12351;Premium-Teekollektion;8;8;4;150;Der Tee, der Ihre Sinne verwöhnt.;Unsere Premium-Teekollektion enthält eine Vielzahl von exquisiten Teesorten aus aller Welt. Perfekt für Teeliebhaber.
P23462;Faltbares Elektrofahrrad;65;40;20;1600;Die umweltfreundliche Lösung für Pendler.;Unser faltbares Elektrofahrrad bietet schnelles und bequemes Pendeln ohne Anstrengung.
P34573;Grill-Set für Barbecue-Liebhaber;15;10;5;180;Das Set, das Grillmeister glücklich macht.;Unser Grill-Set enthält alles, was Sie für ein perfektes Barbecue benötigen. Hochwertige Werkzeuge für Grill-Enthusiasten.
P45685;Kaschmirhandschuhe für Damen;20;8;1;40;Die Handschuhe, die Ihre Hände wärmen und schmücken.;Unsere Kaschmirhandschuhe für Damen sind ein luxuriöses Accessoire, das Ihren Stil betont. Perfekt für kalte Tage.
P56786;4K-Ultra-HD-Projektor;20;30;10;2500;Das Heimkinoerlebnis in atemberaubender 4K-Qualität.;Unser 4K-Ultra-HD-Projektor verwandelt Ihr Zuhause in ein Heimkino mit brillanter Bildqualität.
P67897;Herren-Sportshorts;5;5;2;30;Bequeme Sportshorts mit Stil.;Unsere Herren-Sportshorts bieten Bewegungsfreiheit und Komfort für sportliche Aktivitäten. Ideal für Fitness-Enthusiasten.
P78908;Whisky-Geschenkset für Kenner;8;8;4;120;Ein exklusives Geschenk für Whisky-Kenner.;Unser Whisky-Geschenkset enthält seltene und hochwertige Whiskys sowie passendes Zubehör. Ein besonderes Geschenk für Liebhaber.
P89019;Abstrakte Wandkunst-Kollektion;60;80;2;400;Moderne Kunstwerke, die Ihre Wände schmücken.;Unsere Abstrakte Wandkunst-Kollektion verleiht jedem Raum eine einzigartige und kreative Atmosphäre.
P01240;Designer-Sonnenbrille;5;15;5;40;Die Sonnenbrille, die Ihren Stil auf die nächste Stufe hebt.;Unsere Designer-Sonnenbrille bietet nicht nur Schutz vor der Sonne, sondern ist auch ein modisches Statement für sonnige Tage.
P12352;Premium-Laptop-Rucksack;50;30;20;700;Der Rucksack, der Ihre Geräte schützt und Ihren Rücken entlastet.;Unser Premium-Laptop-Rucksack bietet erstklassigen Schutz für Ihren Laptop und gleichzeitig höchsten Tragekomfort.
P23463;Bio-Honig aus wilden Blumen;10;5;5;220;Reiner, naturbelassener Honig aus wilden Blumenwiesen.;Unser Bio-Honig aus wilden Blumen ist eine Köstlichkeit, die Naturliebhaber und Feinschmecker gleichermaßen schätzen.
P34574;Drahtlose Tastatur und Maus-Combo;5;17;6;70;Die perfekte Ergänzung für Ihren Computerarbeitsplatz.;Unsere drahtlose Tastatur und Maus-Combo bietet Komfort und Präzision für produktives Arbeiten.
P45686;Elegante Herren-Lederschuhe;10;5;3;120;Die Schuhe, die Ihren Stil unterstreichen.;Unsere eleganten Herren-Lederschuhe sind handgefertigte Meisterwerke, die Luxus und Eleganz ausstrahlen. Perfekt für formelle Anlässe.
P56787;Digitale Zeichenplatte für Künstler;15;10;0.5;150;Die Zeichenplatte, die Ihre kreativen Ideen zum Leben erweckt.;Unsere digitale Zeichenplatte bietet Präzision und kreative Freiheit für Künstler und Grafikdesigner.
P67898;Luxus-Damenuhr mit Diamanten;8;8;1;110;Die Uhr, die Ihre Handgelenke schmückt.;Unsere Luxus-Damenuhr mit Diamanten ist ein glitzerndes Schmuckstück, das Luxus und Stil vereint. Ein Blickfang für anspruchsvolle Damen.
